Wysokość (h [m]),Siła ciążenia (Fg [N]),Temperatura (T [K]),Ciśnienie (p [Pa]),Gęstość powietrza (ρ [kg/m^3])
0,539.0,308,101300,1.1457798428709418
10,538.8040000000001,307.915,101187.7417047611,1.1448260586527605
20,538.6080000000001,307.83,101075.54591962465,1.1438724551316504
30,538.412,307.745,100963.41266137914,1.1429190326473861
40,538.216,307.66,100851.34194679357,1.1419657915398973
50,538.02,307.575,100739.33379261753,1.1410127321492702
60,537.824,307.49,100627.38821558109,1.140059854815745
70,537.628,307.405,100515.50523239476,1.1391071598797173
80,537.432,307.32,100403.68485974956,1.1381546476817372
90,537.236,307.235,100291.92711431679,1.1372023185625095
100,537.04,307.15,100180.23201274817,1.1362501728628933
110,536.844,307.065,100068.59957167572,1.1352982109239018
120,536.648,306.98,99957.02980771176,1.134346433086702
130,536.452,306.895,99845.52273744882,1.1333948396926148
140,536.256,306.81,99734.07837745966,1.132443431083114
150,536.0600000000001,306.725,99622.69674429721,1.1314922075998277
160,535.864,306.64,99511.37785449448,1.130541169584536
170,535.668,306.555,99400.12172456467,1.1295903173791728
180,535.4720000000001,306.47,99288.92837100095,1.128639651325824
190,535.2760000000001,306.385,99177.79781027653,1.127689171766728
200,535.08,306.3,99066.73005884467,1.1267388790442758
210,534.884,306.215,98955.72513313846,1.1257887735010101
220,534.6880000000001,306.13,98844.78304957101,1.1248388554796254
230,534.4920000000001,306.045,98733.90382453523,1.1238891253229681
240,534.296,305.96,98623.08747440389,1.1229395833740357
250,534.1,305.875,98512.33401552956,1.121990229975977
260,533.9040000000001,305.79,98401.64346424454,1.1210410654720913
270,533.7080000000001,305.705,98291.0158368609,1.1200920902058296
280,533.5120000000001,305.62,98180.45114967036,1.1191433045207921
290,533.316,305.535,98069.94941894429,1.1181947087607305
300,533.12,305.45,97959.51066093368,1.1172463032695463
310,532.924,305.365,97849.1348918691,1.11629808839129
320,532.7280000000001,305.28,97738.82212796061,1.115350064470163
330,532.532,305.195,97628.57238539781,1.1144022318505147
340,532.336,305.11,97518.38568034978,1.1134545908768454
350,532.14,305.025,97408.26202896496,1.1125071418938033
360,531.9440000000001,304.94,97298.2014473712,1.1115598852461848
370,531.748,304.855,97188.20395167572,1.1106128212789361
380,531.552,304.77,97078.269557965,1.1096659503371513
390,531.356,304.685,96968.39828230484,1.108719272766072
400,531.1600000000001,304.6,96858.59014074026,1.1077727889110884
410,530.964,304.515,96748.84514929543,1.106826499117738
420,530.768,304.43,96639.16332397376,1.1058804037317054
430,530.572,304.345,96529.5446807577,1.1049345030988225
440,530.376,304.26,96419.98923560881,1.103988797565069
450,530.18,304.175,96310.49700446775,1.1030432874765703
460,529.984,304.09,96201.06800325407,1.1020979731795988
470,529.788,304.005,96091.70224786637,1.1011528550205723
480,529.592,303.92,95982.39975418219,1.100207933346056
490,529.396,303.835,95873.16053805791,1.0992632085027598
500,529.2,303.75,95763.9846153288,1.0983186808375398
510,529.0040000000001,303.665,95654.87200180888,1.0973743506973963
520,528.808,303.58,95545.82271329107,1.0964302184294772
530,528.612,303.495,95436.83676554692,1.095486284381072
540,528.416,303.41,95327.91417432671,1.0945425488996172
550,528.22,303.325,95219.05495535939,1.0935990123326924
560,528.024,303.24,95110.25912435257,1.0926556750280225
570,527.8280000000001,303.155,95001.52669699237,1.091712537333475
580,527.6320000000001,303.07,94892.8576889435,1.090769599597062
590,527.436,302.985,94784.25211584919,1.0898268621669382
600,527.24,302.9,94675.70999333113,1.0888843253914031
610,527.0440000000001,302.815,94567.23133698943,1.087941989618897
620,526.8480000000001,302.73,94458.81616240258,1.0869998551980045
630,526.652,302.645,94350.4644851275,1.086057922477452
640,526.456,302.56,94242.17632069933,1.085116191806108
650,526.2600000000001,302.475,94133.95168463155,1.0841746635329834
660,526.0640000000001,302.39,94025.79059241587,1.0832333380072308
670,525.868,302.305,93917.69305952218,1.0822922155781436
680,525.672,302.22,93809.65910139855,1.0813512965951573
690,525.4760000000001,302.135,93701.68873347115,1.080410581407848
700,525.28,302.05,93593.78197114429,1.0794700703659323
710,525.0840000000001,301.965,93485.93882980027,1.0785297638192684
720,524.888,301.88,93378.15932479943,1.0775896621178527
730,524.692,301.795,93270.44347148007,1.0766497656118237
740,524.496,301.71,93162.79128515838,1.075710074651458
750,524.3000000000001,301.625,93055.20278112854,1.074770589587173
760,524.104,301.54,92947.67797466247,1.0738313107695245
770,523.908,301.455,92840.21688100997,1.072892238549208
780,523.712,301.37,92732.8195153986,1.0719533732770565
790,523.5160000000001,301.285,92625.48589303366,1.0710147153040428
800,523.32,301.2,92518.21602909814,1.0700762649812772
810,523.124,301.115,92411.00993875266,1.0691380226600078
820,522.928,301.03,92303.86763713553,1.0681999886916214
830,522.7320000000001,300.945,92196.78913936256,1.0672621634276411
840,522.5360000000001,300.86,92089.77446052716,1.0663245472197276
850,522.34,300.775,91982.82361570018,1.0653871404196789
860,522.144,300.69,91875.93661993001,1.064449943379429
870,521.9480000000001,300.605,91769.11348824241,1.063512956451049
880,521.7520000000001,300.52,91662.35423564052,1.062576179986746
890,521.556,300.435,91555.65887710486,1.061639614338862
900,521.36,300.35,91449.0274275932,1.060703259859876
910,521.164,300.265,91342.45990204065,1.0597671169024019
920,520.968,300.18,91235.95631535948,1.0588311858191881
930,520.772,300.095,91129.51668243918,1.0578954669631186
940,520.5760000000001,300.01,91023.14101814639,1.0569599606872115
950,520.38,299.925,90916.82933732482,1.0560246673446194
960,520.184,299.84,90810.5816547953,1.055089587288629
970,519.988,299.755,90704.39798535567,1.0541547208726605
980,519.792,299.67,90598.27834378072,1.0532200684502673
990,519.596,299.585,90492.22274482228,1.0522856303751373
1000,519.4000000000001,299.5,90386.23120320898,1.0513514070010894
1010,519.2040000000001,299.415,90280.30373364643,1.050417398682077
1020,519.008,299.33,90174.44035081698,1.0494836057721848
1030,518.812,299.245,90068.64106937981,1.0485500286256302
1040,518.6160000000001,299.16,89962.90590397088,1.0476166675967618
1050,518.4200000000001,299.075,89857.2348692028,1.0466835230400604
1060,518.224,298.99,89751.62797966492,1.0457505953101378
1070,518.028,298.905,89646.08524992317,1.0448178847617373
1080,517.8320000000001,298.82,89540.6066945201,1.0438853917497322
1090,517.6360000000001,298.735,89435.19232797479,1.0429531166291262
1100,517.44,298.65,89329.84216478284,1.0420210597550539
1110,517.244,298.565,89224.55621941636,1.0410892214827798
1120,517.0480000000001,298.48,89119.33450632387,1.0401576021676973
1130,516.8520000000001,298.395,89014.17703993025,1.0392262021653302
1140,516.6560000000001,298.31,88909.08383463677,1.0382950218313296
1150,516.46,298.225,88804.054904821,1.0373640615214772
1160,516.264,298.14,88699.0902648368,1.036433321591683
1170,516.068,298.055,88594.18992901426,1.0355028023979838
1180,515.8720000000001,297.97,88489.35391165964,1.0345725042965457
1190,515.676,297.885,88384.58222705536,1.0336424276436615
1200,515.48,297.8,88279.87488945997,1.0327125727957522
1210,515.284,297.715,88175.23191310809,1.0317829401093654
1220,515.0880000000001,297.63,88070.65331221037,1.0308535299411759
1230,514.892,297.545,87966.13910095344,1.0299243426479838
1240,514.696,297.46,87861.68929349988,1.0289953785867167
1250,514.5,297.375,87757.30390398821,1.0280666381144274
1260,514.3040000000001,297.29,87652.98294653282,1.0271381215882949
1270,514.1080000000001,297.205,87548.72643522389,1.0262098293656228
1280,513.912,297.12,87444.53438412742,1.0252817618038401
1290,513.716,297.035,87340.40680728517,1.0243539192605005
1300,513.52,296.95,87236.34371871456,1.0234263020932821
1310,513.324,296.865,87132.34513240878,1.022498910659987
1320,513.128,296.78,87028.41106233654,1.0215717453185418
1330,512.932,296.695,86924.54152244219,1.020644806426995
1340,512.736,296.61,86820.73652664562,1.0197180943435202
1350,512.54,296.525,86716.99608884226,1.0187916094264136
1360,512.344,296.44,86613.32022290296,1.0178653520340928
1370,512.148,296.355,86509.708942674,1.0169393225250984
1380,511.952,296.27,86406.16226197706,1.0160135212580943
1390,511.75600000000003,296.185,86302.6801946092,1.015087948591864
1400,511.56000000000006,296.1,86199.26275434271,1.0141626048853136
1410,511.36400000000003,296.015,86095.9099549252,1.0132374904974706
1420,511.168,295.93,85992.62181007946,1.0123126057874823
1430,510.97200000000004,295.845,85889.39833350353,1.0113879511146173
1440,510.77600000000007,295.76,85786.23953887052,1.0104635268382647
1450,510.58000000000004,295.675,85683.14543982867,1.0095393333179319
1460,510.384,295.59,85580.11605000129,1.0086153709132482
1470,510.18800000000005,295.505,85477.15138298667,1.0076916399839595
1480,509.992,295.42,85374.25145235813,1.006768140889933
1490,509.796,295.335,85271.41627166391,1.0058448739911536
1500,509.6,295.25,85168.64585442712,1.0049218396477244
1510,509.40400000000005,295.165,85065.94021414574,1.0039990382198667
1520,509.208,295.08,84963.29936429256,1.0030764700679198
1530,509.012,294.995,84860.72331831517,1.0021541355523393
1540,508.81600000000003,294.91,84758.21208963585,1.0012320350336994
1550,508.62,294.825,84655.7656916516,1.0003101688726905
